# label	timings_seconds	error
BASELINE(-ne)	0.867,0.565,0.615	
FULL(all packages)	7.176,7.549,5.833	
npm:pi-mcp-adapter	0.816,0.765,0.816	
npm:pi-web-access	0.815,0.665,0.666	
npm:pi-messenger	0.565,0.565,0.565	
npm:pi-gitnexus	0.615,0.565,0.615	
npm:@amb007/deep-wiki	0.615,0.565,0.615	
npm:@zosmaai/pi-llm-wiki	1.417,1.317,1.267	
npm:@a5c-ai/babysitter-pi	0.615,0.615,0.566	
npm:@gotgenes/pi-anthropic-auth	0.565,0.565,0.565	
npm:@quintinshaw/pi-dynamic-workflows	1.116,1.066,1.066	
npm:@narumitw/pi-goal	1.066,0.966,1.116	
npm:pi-btw	0.615,0.565,0.515	
npm:pi-autoresearch	0.515,0.565,0.565	
npm:@hicaru/pi-rlm	0.615,0.565,0.615	
npm:pi-token-burden	0.915,0.865,0.865	
npm:@dietrichgebert/ponytail	0.515,0.515,0.515	
npm:pi-fabric	1.767,1.667,1.817	
npm:pi-antigravity	0.866,0.815,0.865	
npm:@mrclrchtr/supi-context	0.615,0.615,0.565	
npm:@mrclrchtr/supi-insights	0.615,0.615,0.565	
npm:@tmustier/pi-usage-extension	0.565,0.565,0.565	
npm:pi-context-view	0.565,0.565,0.615	
npm:pi-context-usage	0.565,0.615,0.565	
npm:@juanbenjumea/pi-dynamic-footer	0.665,0.665,0.665	
https://github.com/cathrynlavery/diagram-design	0.515,0.515,0.515	
git:github.com/xulongwu4/pi-devin	0.665,0.716,0.665	
git:github.com/xulongwu4/pi-quotas	0.766,0.665,0.715	
git:github.com/xulongwu4/pi-free-openai-gateways	0.615,0.615,0.615	
git:github.com/xulongwu4/pi-cline-pass	0.515,0.515,0.565	
npm:@juicesharp/rpiv-todo	0.665,0.615,0.665	
npm:pi-memory	0.515,0.565,0.515	
npm:@juicesharp/rpiv-ask-user-question	0.565,0.615,0.615	
npm:pi-hashline-edit-pro	0.615,0.565,0.615	
npm:pi-cache-optimizer	0.565,0.665,0.615	
npm:context-fold	0.665,0.615,0.565	
npm:@tintinweb/pi-subagents	1.166,1.166,1.166	
npm:pi-intercom	0.565,0.565,0.565	
